施設名,種別,管理運営機関,都道府県,市区町村,住所,電話番号,アドレス,Webサイト,担当部署,担当者,自主事業,状態,温度感,次回アクション,備考,補完状況,補完元,補完元URL
星陵中学校,私立中学校,私立,静岡県,富士宮市,静岡県富士宮市星山１０６８,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C122310000279 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 4180035 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
星陵高等学校,私立高等学校,私立,静岡県,富士宮市,静岡県富士宮市星山１０６８,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000106 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4180035 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
静岡県富士見中学校,私立中学校,私立,静岡県,富士市,静岡県富士市平垣町１－１,0545-61-0250,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C122310000288 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 4168555 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
静岡県富士見高等学校,私立高等学校,私立,静岡県,富士市,静岡県富士市平垣町１－１,0545-61-0250,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000099 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4168555 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
島田樟誠高等学校,私立高等学校,私立,静岡県,島田市,静岡県島田市伊太２０７５－１,0547-37-3116,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000295 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4270034 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
御殿場西高等学校,私立高等学校,私立,静岡県,御殿場市,静岡県御殿場市ぐみ沢６４４－１,0550-89-2466,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000080 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4120041 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
特別支援学校ねむの木,私立特別支援学校,私立,静岡県,掛川市,静岡県掛川市上垂木２９７９－２,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: E122310000014 / 学校種: E1(養護) / 本分校: 本校 / 郵便番号: 4360221 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
キラリ高等学校,私立高等学校,私立,静岡県,榛原郡吉田町,静岡県榛原郡吉田町神戸７２６－４,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000446 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4210304 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
加藤学園暁秀中学校,私立中学校,私立,静岡県,沼津市,静岡県沼津市岡宮字中見代１３６１－１,055-924-1900,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C122310000028 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 4100011 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
加藤学園暁秀初等学校,私立小学校,私立,静岡県,沼津市,静岡県沼津市大岡自由ヶ丘１９７９,055-922-0720,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: B122310000039 / 学校種: B1(小学校) / 本分校: 本校 / 郵便番号: 4100022 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
加藤学園暁秀高等学校,私立高等学校,私立,静岡県,沼津市,静岡県沼津市岡宮字中見代１３６１－１,055-924-1900,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000124 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4100011 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
加藤学園高等学校,私立高等学校,私立,静岡県,沼津市,静岡県沼津市大岡自由ヶ丘１９７９,055-921-0347,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000062 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4100022 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
桐陽高等学校,私立高等学校,私立,静岡県,沼津市,静岡県沼津市高島本町８－５２,055-921-0096,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000115 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4100055 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
沼津中央高等学校,私立高等学校,私立,静岡県,沼津市,静岡県沼津市杉崎町１１－２０,055-921-0346,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000044 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4100033 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
誠恵高等学校,私立高等学校,私立,静岡県,沼津市,静岡県沼津市沼北町２－９－１２,055-921-5088,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000071 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4100058 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
飛龍高等学校,私立高等学校,私立,静岡県,沼津市,静岡県沼津市東熊堂４９１,055-921-7942,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000053 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4100013 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
オイスカ浜松国際高等学校,私立高等学校,私立,静岡県,浜松市中央区,静岡県浜松市中央区和地町５８３５番地,053-486-3011,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000428 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4311115 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
浜松修学舎中学校,私立中学校,私立,静岡県,浜松市中央区,静岡県浜松市中央区向宿２－２０－１,053-461-7356,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C122310000144 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 4300851 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
浜松修学舎高等学校,私立高等学校,私立,静岡県,浜松市中央区,静岡県浜松市中央区向宿２－２０－１,053-461-7356,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000384 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4300851 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
浜松啓陽高等学校,私立高等学校,私立,静岡県,浜松市中央区,静岡県浜松市中央区三幸町４２１,053-420-0431,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000437 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4338101 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
浜松学芸中学校,私立中学校,私立,静岡県,浜松市中央区,静岡県浜松市中央区下池川町３４－３,053-471-5336,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C122310000242 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 4300905 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
浜松学芸高等学校,私立高等学校,私立,静岡県,浜松市中央区,静岡県浜松市中央区下池川町３４－３,053-471-5336,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000375 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4300905 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
浜松学院興誠中学校,私立中学校,私立,静岡県,浜松市中央区,静岡県浜松市中央区高林１－１７－２,053-471-4136,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C122310000233 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 4300907 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
浜松学院興誠高等学校,私立高等学校,私立,静岡県,浜松市中央区,静岡県浜松市中央区高林１－１７－２,053-471-4136,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000348 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4300907 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
浜松日体中学校,私立中学校,私立,静岡県,浜松市中央区,静岡県浜松市中央区半田山３－３０－１,053-434-0632,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C122310000171 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 4313125 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
浜松日体高等学校,私立高等学校,私立,静岡県,浜松市中央区,静岡県浜松市中央区半田山３－３０－１,053-434-0632,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000400 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4313125 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
浜松聖星高等学校,私立高等学校,私立,静岡県,浜松市中央区,静岡県浜松市中央区蜆塚３－１４－１,053-454-5376,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000393 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4328018 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
浜松開誠館中学校,私立中学校,私立,静岡県,浜松市中央区,静岡県浜松市中央区松城町２０７－２,053-456-7111,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C122310000135 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 4300947 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
浜松開誠館高等学校,私立高等学校,私立,静岡県,浜松市中央区,静岡県浜松市中央区松城町２０７－２,053-456-7111,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000366 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4300947 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
聖隷クリストファーグローバルスクール中等部,私立中学校,私立,静岡県,浜松市中央区,静岡県浜松市中央区三方原町３４５３番地,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C122310000297 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 4338105 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
聖隷クリストファーグローバルスクール高等部,私立高等学校,私立,静岡県,浜松市中央区,静岡県浜松市中央区三方原町３４５３番地,053-488-8686,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000482 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4338105 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
聖隷クリストファー中学校,私立中学校,私立,静岡県,浜松市中央区,静岡県浜松市中央区三方原町３４５３,053-436-5313,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C122310000251 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 4338558 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
聖隷クリストファー小学校,私立小学校,私立,静岡県,浜松市中央区,静岡県浜松市中央区三方原町３４５３,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: B122310000057 / 学校種: B1(小学校) / 本分校: 本校 / 郵便番号: 4338558 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
聖隷クリストファー高等学校,私立高等学校,私立,静岡県,浜松市中央区,静岡県浜松市中央区三方原町３４５３,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000419 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4338558 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
静岡県西遠女子学園中学校,私立中学校,私立,静岡県,浜松市中央区,静岡県浜松市中央区佐藤三丁目２０－１,053-461-0374,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C122310000126 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 4300807 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
静岡県西遠女子学園高等学校,私立高等学校,私立,静岡県,浜松市中央区,静岡県浜松市中央区佐藤三丁目２０－１,053-461-0374,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000357 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4300807 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
焼津高等学校,私立高等学校,私立,静岡県,焼津市,静岡県焼津市中港１－１－８,054-628-7235,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000277 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4250021 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
磐田東中学校,私立中学校,私立,静岡県,磐田市,静岡県磐田市見付１８０－５,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C122310000224 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 4380086 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
磐田東高等学校,私立高等学校,私立,静岡県,磐田市,静岡県磐田市見付１８０－５,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000339 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4380086 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
常葉大学附属菊川中学校,私立中学校,私立,静岡県,菊川市,静岡県菊川市半済１５５０,0537-35-3171,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C122310000215 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 4390019 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
常葉大学附属菊川高等学校,私立高等学校,私立,静岡県,菊川市,静岡県菊川市半済１５５０,0537-35-3171,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000311 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4390019 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
菊川南陵高等学校,私立高等学校,私立,静岡県,菊川市,静岡県菊川市河東５４４２－５,0537-73-5141,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000133 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4371506 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
藤枝明誠中学校,私立中学校,私立,静岡県,藤枝市,静岡県藤枝市大洲２－２－１,054-635-8155,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C122310000206 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 4260051 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
藤枝明誠高等学校,私立高等学校,私立,静岡県,藤枝市,静岡県藤枝市大洲２－２－１,054-635-8155,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000320 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4260051 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
藤枝順心中学校,私立中学校,私立,静岡県,藤枝市,静岡県藤枝市前島２－３－１,054-635-1311,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C122310000199 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 4260067 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
藤枝順心高等学校,私立高等学校,私立,静岡県,藤枝市,静岡県藤枝市前島２－３－１,054-635-1311,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000286 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4260067 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
静清高等学校,私立高等学校,私立,静岡県,藤枝市,静岡県藤枝市潮８７,054-641-6693,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000179 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4260007 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
不二聖心女子学院中学校,私立中学校,私立,静岡県,裾野市,静岡県裾野市桃園１９８,055-992-0213,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C122310000019 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 4101126 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
不二聖心女子学院高等学校,私立高等学校,私立,静岡県,裾野市,静岡県裾野市桃園１９８,055-992-0213,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000026 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4101126 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
あおい開惺高等学校,私立高等学校,私立,静岡県,静岡市清水区,静岡県静岡市清水区中河内２５８３番地の１,054-275-0588,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000473 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4240401 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
東海大学付属静岡翔洋小学校,私立小学校,私立,静岡県,静岡市清水区,静岡県静岡市清水区折戸３－２０－１,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: B122310000020 / 学校種: B1(小学校) / 本分校: 本校 / 郵便番号: 4240902 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
東海大学付属静岡翔洋高等学校,私立高等学校,私立,静岡県,静岡市清水区,静岡県静岡市清水区折戸３－２０－１,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000160 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4248611 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
東海大学付属静岡翔洋高等学校中等部,私立中学校,私立,静岡県,静岡市清水区,静岡県静岡市清水区折戸３－２０－１,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C122310000055 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 4248611 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
清水国際高等学校,私立高等学校,私立,静岡県,静岡市清水区,静岡県静岡市清水区天神１－４－１,054-366-4155,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000142 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4240809 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
静岡サレジオ中学校,私立中学校,私立,静岡県,静岡市清水区,静岡県静岡市清水区中之郷３－２－１,054-345-2296,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C122310000046 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 4248624 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
静岡サレジオ小学校,私立小学校,私立,静岡県,静岡市清水区,静岡県静岡市清水区中之郷３－２－１,054-345-9321,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: B122310000011 / 学校種: B1(小学校) / 本分校: 本校 / 郵便番号: 4248624 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
静岡サレジオ高等学校,私立高等学校,私立,静岡県,静岡市清水区,静岡県静岡市清水区中之郷３－２－１,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000151 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4248624 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
常葉大学教育学部附属橘小学校,私立小学校,私立,静岡県,静岡市葵区,静岡県静岡市葵区瀬名１－２２－１,054-263-1080,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: B122310000048 / 学校種: B1(小学校) / 本分校: 本校 / 郵便番号: 4200911 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
常葉大学附属常葉中学校,私立中学校,私立,静岡県,静岡市葵区,静岡県静岡市葵区水落町１番３０号,054-245-5401,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C122310000108 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 4208588 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
常葉大学附属常葉高等学校,私立高等学校,私立,静岡県,静岡市葵区,静岡県静岡市葵区水落町１番３０号,054-245-5401,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D122310000231 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 4208588 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,静岡県私学協会 加盟校一覧XLSX,https://www.shizuoka-shigaku.net/app/uploads/shizuoka-shigaku-member-school.xlsx
